Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,carbon_footprint_kg_CO2_ha
0,Albania,Maize,1990,36613,1485.0,121.0,16.37,2321.8091236551
1,Albania,Potatoes,1990,66667,1485.0,121.0,16.37,2349.2128682495236
2,Albania,"Rice, paddy",1990,23333,1485.0,121.0,16.37,1372.731547902991
3,Albania,Sorghum,1990,12500,1485.0,121.0,16.37,1725.4543297004689
4,Albania,Soybeans,1990,7000,1485.0,121.0,16.37,1579.6408723400214
5,Albania,Wheat,1990,30197,1485.0,121.0,16.37,2165.898713454676
6,Albania,Maize,1991,29068,1485.0,121.0,15.36,2554.8289025351796
7,Albania,Potatoes,1991,77818,1485.0,121.0,15.36,2352.1777311906544
8,Albania,"Rice, paddy",1991,28538,1485.0,121.0,15.36,1278.3851330438533
9,Albania,Sorghum,1991,6667,1485.0,121.0,15.36,1700.9564034488217
10,Albania,Soybeans,1991,6066,1485.0,121.0,15.36,1578.6385572099014
11,Albania,Wheat,1991,20698,1485.0,121.0,15.36,2194.299870624645
12,Albania,Maize,1992,24876,1485.0,121.0,16.06,2499.638315806382
13,Albania,Potatoes,1992,82920,1485.0,121.0,16.06,2358.819338610854
14,Albania,"Rice, paddy",1992,40000,1485.0,121.0,16.06,1178.0595197945486
15,Albania,Sorghum,1992,3747,1485.0,121.0,16.06,1918.8336294928185
16,Albania,Soybeans,1992,4507,1485.0,121.0,16.06,1577.2730217523706
17,Albania,Wheat,1992,24388,1485.0,121.0,16.06,2168.559269153641
18,Albania,Maize,1993,24185,1485.0,121.0,16.05,2493.465266378693
19,Albania,Potatoes,1993,98446,1485.0,121.0,16.05,2099.000639022353
20,Albania,"Rice, paddy",1993,41786,1485.0,121.0,16.05,1197.232295656332
21,Albania,Soybeans,1993,7998,1485.0,121.0,16.05,1559.210482733167
22,Albania,Wheat,1993,29976,1485.0,121.0,16.05,2134.2920003576764
23,Albania,Maize,1994,25848,1485.0,201.0,16.96,2385.7747873454623
24,Albania,Potatoes,1994,81404,1485.0,201.0,16.96,2302.0380951278894
25,Albania,Soybeans,1994,7927,1485.0,201.0,16.96,1572.015108046341
26,Albania,Wheat,1994,24745,1485.0,201.0,16.96,1918.422810544157
27,Albania,Maize,1995,31300,1485.0,251.0,15.67,2469.590861768963
28,Albania,Potatoes,1995,111323,1485.0,251.0,15.67,2085.9300421840207
29,Albania,Soybeans,1995,11791,1485.0,251.0,15.67,1639.1651072608179
30,Albania,Wheat,1995,28703,1485.0,251.0,15.67,2166.780539182642
31,Albania,Maize,1996,32604,1485.0,313.96,15.64,2641.7102923228936
32,Albania,Potatoes,1996,106138,1485.0,313.96,15.64,2128.922994243728
33,Albania,Soybeans,1996,15480,1485.0,313.96,15.64,1405.0508651383698
34,Albania,Wheat,1996,21741,1485.0,313.96,15.64,2107.2003880367356
35,Albania,Maize,1997,31862,1485.0,376.93,15.9,2485.514431313297
36,Albania,Potatoes,1997,109874,1485.0,376.93,15.9,2232.019744222262
37,Albania,Soybeans,1997,12768,1485.0,376.93,15.9,1425.2052290749236
38,Albania,Wheat,1997,28516,1485.0,376.93,15.9,1979.4700369655156
39,Albania,Maize,1998,33416,1485.0,439.89,16.27,2537.051122027944
40,Albania,Potatoes,1998,127212,1485.0,439.89,16.27,2137.9915745038234
41,Albania,Soybeans,1998,14327,1485.0,439.89,16.27,1624.7278693265523
42,Albania,Wheat,1998,28037,1485.0,439.89,16.27,2056.954720651468
43,Albania,Maize,1999,37455,1485.0,502.86,16.57,2522.7127328445704
44,Albania,Potatoes,1999,142018,1485.0,502.86,16.57,2234.3833618010985
45,Albania,Soybeans,1999,17143,1485.0,502.86,16.57,1487.5022775413731
46,Albania,Wheat,1999,24954,1485.0,502.86,16.57,1825.95744419631
47,Albania,Maize,2000,38811,1485.0,565.82,16.67,2396.872392523478
48,Albania,Potatoes,2000,141228,1485.0,565.82,16.67,2094.4464324670753
49,Albania,Soybeans,2000,15000,1485.0,565.82,16.67,1347.1670288545129
50,Albania,Wheat,2000,30455,1485.0,565.82,16.67,1908.9531829317543
51,Albania,Maize,2001,38135,1485.0,628.79,16.59,2697.6757375533184
52,Albania,Potatoes,2001,148818,1485.0,628.79,16.59,2387.0384832198038
53,Albania,Soybeans,2001,20000,1485.0,628.79,16.59,1690.9353233600298
54,Albania,Wheat,2001,28220,1485.0,628.79,16.59,1810.472126095716
55,Albania,Maize,2002,39460,1485.0,691.75,16.47,2576.560639232411
56,Albania,Potatoes,2002,153868,1485.0,691.75,16.47,2086.934071984392
57,Albania,Soybeans,2002,20000,1485.0,691.75,16.47,1692.8916185357425
58,Albania,Wheat,2002,31617,1485.0,691.75,16.47,2059.015618915645
59,Albania,Maize,2004,46197,1485.0,817.68,16.16,2348.171116728162
60,Albania,Potatoes,2004,149346,1485.0,817.68,16.16,2277.444997349997
61,Albania,Soybeans,2004,13333,1485.0,817.68,16.16,1632.3509034400258
62,Albania,Wheat,2004,31130,1485.0,817.68,16.16,1880.7605581487207
63,Albania,Maize,2005,45442,1485.0,880.64,15.67,2486.2691461957115
64,Albania,Potatoes,2005,167061,1485.0,880.64,15.67,2384.406452183475
65,Albania,Soybeans,2005,17500,1485.0,880.64,15.67,1580.2486159807866
66,Albania,Wheat,2005,31582,1485.0,880.64,15.67,2025.1754174127439
67,Albania,Maize,2006,50111,1485.0,943.61,15.92,2674.8131049690683
68,Albania,Potatoes,2006,170745,1485.0,943.61,15.92,2001.6278769685746
69,Albania,Soybeans,2006,20000,1485.0,943.61,15.92,1579.16621408813
70,Albania,Wheat,2006,30787,1485.0,943.61,15.92,2144.525411436227
71,Albania,Maize,2007,46732,1485.0,1006.57,16.67,2405.4718527364776
72,Albania,Potatoes,2007,188902,1485.0,1006.57,16.67,2036.605955067287
73,Albania,Soybeans,2007,20000,1485.0,1006.57,16.67,1565.037879668544
74,Albania,Wheat,2007,35496,1485.0,1006.57,16.67,1958.898694537347
75,Albania,Maize,2008,50000,1485.0,1069.54,16.71,2522.9765961696667
76,Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,2095.361830205059
77,Albania,Soybeans,2008,20000,1485.0,1069.54,16.71,1436.5322439284682
78,Albania,Wheat,2008,40168,1485.0,1069.54,16.71,1914.626385208511
79,Albania,Maize,2009,55693,1485.0,1132.5,16.73,2596.708719251422
80,Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,2086.5386552360787
81,Albania,Soybeans,2009,16667,1485.0,1132.5,16.73,1437.8996259165647
82,Albania,Wheat,2009,40229,1485.0,1132.5,16.73,1841.173516939942
83,Albania,Maize,2010,66790,1485.0,1311.17,16.52,2333.113063045701
84,Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,2377.9992459105406
85,Albania,Soybeans,2010,16667,1485.0,1311.17,16.52,1464.3897394658914
86,Albania,Wheat,2010,39905,1485.0,1311.17,16.52,2121.765649258727
87,Albania,Maize,2011,59869,1485.0,1302.63,16.45,2447.7246652198205
88,Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,2067.19099530424
89,Albania,Soybeans,2011,18519,1485.0,1302.63,16.45,1402.7791645061156
90,Albania,Wheat,2011,42301,1485.0,1302.63,16.45,2021.3663029665934
91,Albania,Maize,2012,67290,1485.0,766.25,16.7,2648.0152838256654
92,Albania,Potatoes,2012,250538,1485.0,766.25,16.7,2324.0068159310167
93,Albania,Soybeans,2012,13333,1485.0,766.25,16.7,1451.6568548651646
94,Albania,Wheat,2012,41096,1485.0,766.25,16.7,2126.7631166874385
95,Albania,Maize,2013,69533,1485.0,982.32,17.41,2498.0087811878
96,Albania,Potatoes,2013,260110,1485.0,982.32,17.41,2289.408214122247
97,Albania,Soybeans,2013,10000,1485.0,982.32,17.41,1324.5789754978925
